CountryCode,observedPropertyDeterminandBiologyEQRCode,parameterWaterBodyCategory,parameterNCSWaterBodyType,parameterWFDIntercalibrationWaterBodyType,parameterNaturalAWBHMWB,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45,procedureBiologicalAnalyticalMethodDescription,resultObservationStatus,Remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
NL,EEA_11-04-1,LW,M10|NL13_22,LW-L-CB2,AWB,0,0.8,0.5,0.333,0.1666,http://handboekhydrobiologie.stowa.nl/Het_Handboek/index.aspx,A,,http://cdr.eionet.europa.eu/nl/eea/wise_soe/wise4/envws1gia/WISE-SoE_WaterQuality_13_14_15_20171012._BiologyEQRClassificationProcedu.xml,2017-12-19 13:09:04.000,stable,A,,4332
BG,EEA_13-01-4,RW,R2,,Natural,0,0.87,0.66,0.4,0.3,BI is based on categorizing macroinvertebrates into categories depending on their response to the pollution (mainly impact of organic pollution and toxic pollution). Macroinvertebrates are divided into 5 groups - A (highly sensitive) to E (tolerant). ,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1825
BG,EEA_13-01-4,RW,R4,,Natural,0,0.87,0.66,0.4,0.3,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1827
BG,EEA_13-01-4,RW,R7,,Natural,0,0.7,0.6,0.4,0.3,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1829
BG,EEA_13-01-4,RW,R8,,Natural,0,0.7,0.6,0.4,0.3,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1830
SI,EEA_124-04-9,RW,R_SI_5_VR4_Lj,,Natural,0,0.8,0.6,0.4,0.2,http://www.mko.gov.si/fileadmin/mko.gov.si/pageuploads/podrocja/voda/ekolosko_stanje/metod_vredn_ekoloskega_st_rek_bentoskimi_nevretencarji.pdf Urbanič G. (2009): Razvoj metod. za vred. hidromorfol. spremen. velikih rek v Slo. na podl. bentoških nevret.,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2495
SI,EEA_124-04-9,RW,R_SI_5_VR5_Ko,,Natural,0,0.8,0.6,0.4,0.2,http://www.mko.gov.si/fileadmin/mko.gov.si/pageuploads/podrocja/voda/ekolosko_stanje/metod_vredn_ekoloskega_st_rek_bentoskimi_nevretencarji.pdf Urbanič G. (2009): Razvoj metod. za vred. hidromorfol. spremen. velikih rek v Slo. na podl. bentoških nevret.,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2496
SI,EEA_13-02-5,RW,R_SI_11_VR6_PN-Sa,,Natural,0,0.8,0.6,0.4,0.2,http://www.mko.gov.si/fileadmin/mko.gov.si/pageuploads/podrocja/voda/ekolosko_stanje/metod_vredn_ekoloskega_st_rek_bentoskimi_nevretencarji.pdf Urbanič G. (2009): Razvoj metod. za vred. hidromorfol. spremen. velikih rek v Slo. na podl. bentoških nevret.,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2497
SI,EEA_13-02-5,RW,R_SI_11_VR8_medAL-Dr,,Natural,0,0.8,0.6,0.4,0.2,http://www.mko.gov.si/fileadmin/mko.gov.si/pageuploads/podrocja/voda/ekolosko_stanje/metod_vredn_ekoloskega_st_rek_bentoskimi_nevretencarji.pdf Urbanič G. in sod.: Poročilo o delu IZVRS za leto 2010; Ekološki potencial MPVT,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2498
SI,EEA_13-02-5,RW,R_SI_11_VR9_Mu-ravDr,,Natural,0,0.8,0.6,0.4,0.2,http://www.mko.gov.si/fileadmin/mko.gov.si/pageuploads/podrocja/voda/ekolosko_stanje/metod_vredn_ekoloskega_st_rek_bentoskimi_nevretencarji.pdf Urbanič G. (2009): Razvoj metod. za vred. hidromorfol. spremen. velikih rek v Slo. na podl. bentoških nevret.,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2499
SI,EEA_13-02-5,RW,R_SI_3_Vip-Brda_2,,Natural,0,0.8,0.6,0.4,0.2,http://www.mko.gov.si/fileadmin/mko.gov.si/pageuploads/podrocja/voda/ekolosko_stanje/metod_vredn_ekoloskega_st_rek_bentoskimi_nevretencarji.pdf,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2500
SI,EEA_13-02-5,RW,R_SI_4_KB-AL-D_2,,Natural,0,0.8,0.6,0.4,0.2,http://www.mko.gov.si/fileadmin/mko.gov.si/pageuploads/podrocja/voda/ekolosko_stanje/metod_vredn_ekoloskega_st_rek_bentoskimi_nevretencarji.pdf,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2501
SI,EEA_13-02-5,RW,R_SI_5_Obalna_1_Pres,,Natural,0,0.8,0.6,0.4,0.2,http://www.mko.gov.si/fileadmin/mko.gov.si/pageuploads/podrocja/voda/ekolosko_stanje/metod_vredn_ekoloskega_st_rek_bentoskimi_nevretencarji.pdf,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2502
IE,EEA_13-01-4,RW,11,,Natural,1,0.85,0.75,0.65,0.45,Field identification enumeration of macroinvertebrate species,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2262
IE,EEA_13-01-4,RW,12,,Natural,1,0.85,0.75,0.65,0.45,Field identification enumeration of macroinvertebrate species,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2263
IE,EEA_13-01-4,RW,13,,Natural,1,0.85,0.75,0.65,0.45,Field identification enumeration of macroinvertebrate species,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2264
IE,EEA_13-01-4,RW,14,,Natural,1,0.85,0.75,0.65,0.45,Field identification enumeration of macroinvertebrate species,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2265
IE,EEA_13-01-4,RW,21,,Natural,1,0.85,0.75,0.65,0.45,Field identification enumeration of macroinvertebrate species,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2266
IE,EEA_13-01-4,RW,22,,Natural,1,0.85,0.75,0.65,0.45,Field identification enumeration of macroinvertebrate species,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2267
IE,EEA_13-04-7,RW,32,,Natural,1,0.85,0.75,0.65,0.45,Field identification enumeration of macroinvertebrate species,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2283
IE,EEA_13-04-7,RW,33,,Natural,1,0.85,0.75,0.65,0.45,Field identification enumeration of macroinvertebrate species,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2284
IT,EEA_124-04-9,RW,02SR2D,,Natural,0,0.85,0.7,0.6,0.5,,,MACROPHYTES,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,294
IT,EEA_124-04-9,RW,02SR3F,,Natural,0,0.84,0.65,0.55,0.26,,,DIATOMS,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,295
IT,EEA_124-04-9,RW,02SS1T,,Natural,0,0.85,0.7,0.6,0.5,,,MACROPHYTES,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,296
IT,EEA_124-04-9,RW,02SS5F,,Natural,0,0.84,0.65,0.55,0.26,,,DIATOMS,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,297
IT,EEA_124-04-9,RW,06AS6T,,Natural,0,0.9,0.8,0.65,0.5,,,MACROPHYTES,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,298
IT,EEA_124-04-9,RW,06SS2T,,Natural,0,0.84,0.65,0.55,0.26,,,DIATOMS,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,299
IT,EEA_124-04-9,RW,06SS4FSISI,,Natural,0,0.84,0.65,0.55,0.26,,,DIATOMS,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,300
IT,EEA_124-04-9,RW,06SS4T,,Natural,0,0.84,0.65,0.55,0.26,,,DIATOMS,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,301
IT,EEA_124-04-9,RW,06SS5D,,Natural,0,0.84,0.65,0.55,0.26,,,DIATOMS,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,302
IT,EEA_124-04-9,RW,Ca,,Natural,0,0.9,0.8,0.65,0.5,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,303
IT,EEA_124-04-9,RW,Cb,,Natural,0,0.9,0.8,0.65,0.5,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,304
IT,EEA_124-04-9,RW,Cc,,Natural,0,0.9,0.8,0.65,0.5,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,305
IT,EEA_124-04-9,RW,MA,,Natural,0,0.9,0.8,0.65,0.5,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,306
IT,EEA_124-04-9,RW,Mf,,Natural,0,0.9,0.8,0.65,0.5,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,307
IT,EEA_13-01-4,RW,0,,AWB,1,0.95,0.71,0.48,0.24,http://www.irsa.cnr.it/Docs/Notiz/notiz2007_(03).pdf,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,308
IT,EEA_13-01-4,RW,01GH1N,,Natural,0,0.95,0.71,0.48,0.24,D. Lgs. 152/2006 e smi,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,309
IT,EEA_13-01-4,RW,01GH2N,,Natural,0,0.95,0.71,0.48,0.24,D. Lgs. 152/2006 e smi,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,310
IT,EEA_13-01-4,RW,01GH4N,,Natural,0,0.95,0.71,0.48,0.24,D. Lgs. 152/2006 e smi,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,311
IT,EEA_13-01-4,RW,01SS1N,,Natural,0,0.95,0.71,0.48,0.24,D. Lgs. 152/2006 e smi,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,312
BE,EEA_124-01-6,RW,BERW_12311,,Natural,0,0.94,0.75,0.5,0.31,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,45
BE,EEA_124-01-6,RW,BERW_12409,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,46
BE,EEA_124-01-6,RW,BERW_15006,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,378
BE,EEA_124-01-6,RW,BERW_15022,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,379
BE,EEA_124-01-6,RW,BERW_15024,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,380
GB,EEA_124-04-9,RW,F10212,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope at x1000 magnification count all taxa until a total of 300 non-planktic valves have been reached,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2129
GB,EEA_124-04-9,RW,F10244,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope at x1000 magnification count all taxa until a total of 300 non-planktic valves have been reached,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2130
GB,EEA_124-04-9,RW,F10248,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope at x1000 magnification count all taxa until a total of 300 non-planktic valves have been reached,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2131
GB,EEA_124-04-9,RW,F10250,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope at x1000 magnification count all taxa until a total of 300 non-planktic valves have been reached,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2132
GB,EEA_124-04-9,RW,F10270,,HMWB,1,0.93,0.78,0.52,0.26,Using a microscope at x1000 magnification count all taxa until a total of 300 non-planktic valves have been reached,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2133
GB,EEA_124-04-9,RW,F10286,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope at x1000 magnification count all taxa until a total of 300 non-planktic valves have been reached,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2134
GB,EEA_124-04-9,RW,F10370,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope at x1000 magnification count all taxa until a total of 300 non-planktic valves have been reached,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2135
GB,EEA_123-01-3,LW,"Organic, Shallow, Large, Lowland",LW-L-CB1,HMWB,1,0.9,0.68,0.42,0.33,Free Macrophyte Index,A,,http://cdr.eionet.europa.eu/gb/eea/wise_soe/wise4/envwg_lxq/NI_2013_data_resub_Jan_2017._BiologyEQRClassificationProcedu.xml,2017-01-11 10:35:03.000,stable,A,,3266
BE,EEA_124-01-6,RW,RIV_06_Natural,RW-R-C3,Natural,1,0.97,0.73,0.48,0.3,"Indice de Polluosensibilité spécifique.  Coste M. in CEMAGREF, 1982. Etude des méthodes biologiques quantitatives d'appréciation de la qualité des eaux.  Rapport Q.E. Lyon - A.F.B. Rhône-Méditerranée-Corse : 218 p",,,http://cdr.eionet.europa.eu/be/eea/wise_soe/wise4/envxbdrea/WISE_SoE_WaterQuality_2018_181220_BiologyEQRClassificationProcedure.xml,2018-12-21 10:10:46.000,valid,A,,4792
GB,EEA_123-01-3,LW,"Organic, Shallow, Large, Lowland",LW-L-N8a,Natural,1,0.9,0.68,0.42,0.33,Free Macrophyte Index,A,,http://cdr.eionet.europa.eu/gb/eea/wise_soe/wise4/envwg_lxq/NI_2013_data_resub_Jan_2017._BiologyEQRClassificationProcedu.xml,2017-01-11 10:35:03.000,stable,A,,3268
